author,comment,commentsCount,pageUrl,replyCount,title,type,voteCount,clean_comment,classification,themes,sentiment,LLM Emotions (parsed),LLM Emotions Confidence,text,language
@Krishna_deewana_hu_me,"I am big fan of made in heaven. I really enjoyed both season. Bcs we can't afford luxury wedding in real life so karan johar aur Joya Akhtar ki movies me hi dekhlo bhaiya 
It's nice show bhurani agreed about LGBT things",80,https://www.youtube.com/watch?v=0JVAozV1EnA,0,Made In Heaven Season 2 All Episodes Review | Made In Heaven Season 2 Review | Amazon Prime |,comment,5,i am big fan of made in heaven. i really enjoyed both season. bcs we can't afford luxury wedding in real life so karan johar aur joya akhtar ki movies me hi dekhlo bhaiya it's nice show bhurani agreed about lgbt things,"{
  ""themes"": [
    ""India Local Culture"",
    ""Gender Norms & Dynamics""
  ],
  ""sentiment"": ""Positive""
}","India Local Culture,Gender Norms & Dynamics",Positive,"Compassion, Pride",High,i am big fan of made in heaven. i really enjoyed both season. bcs we can't afford luxury wedding in real life so karan johar aur joya akhtar ki movies me hi dekhlo bhaiya it's nice show bhurani agreed about lgbt things,English
@manasuniyal2897,"Single girls should never marry and take care of their parents forever, after all they were the ones who sacrificed their lives for education of the girl.",359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,reply,0,"single girls should never marry and take care of their parents forever, after all they were the ones who sacrificed their lives for education of the girl.","{
    ""themes"": [""Gender Norms & Dynamics"", ""Caste / Intersectional""],
    ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Caste / Intersectional",Negative,"Contempt, Guilt",Medium,"single girls should never marry and take care of their parents forever, after all they were the ones who sacrificed their lives for education of the girl.",English
@garagasrividya1805,Daughters of single parents face this issue.,359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,reply,0,daughters of single parents face this issue.,"{
  ""themes"": [""Gender Norms & Dynamics"", ""Caste / Intersectional""],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Caste / Intersectional",Negative,No emotion,High,daughters of single parents face this issue.,English
@PokhrajRoy.,I’m looking forward to the Neeraj Ghaywan x Radhika Apte storyline AND a Sapphic Wedding.,55,https://www.youtube.com/watch?v=RepGi_pLkA4,2,Made in Heaven Season 2 - Official Trailer | REACTION!!!!,comment,22,i’m looking forward to the neeraj ghaywan x radhika apte storyline and a sapphic wedding.,"{
  ""themes"": [""India Local Culture"", ""Gender Norms & Dynamics""],
  ""sentiment"": ""Positive""
}","India Local Culture,Gender Norms & Dynamics",Positive,Pride,High,i’m looking forward to the neeraj ghaywan x radhika apte storyline and a sapphic wedding.,English
@sadeqaghazal2571,"Then you have not seen the world yet. Many girls are sacrificed like this either by parents or the elder siblings. They take care of parents, grow old alone, and their siblings let them be without taking any responsibility.",359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,reply,104,"then you have not seen the world yet. many girls are sacrificed like this either by parents or the elder siblings. they take care of parents, grow old alone, and their siblings let them be without taking any responsibility.","{
  ""themes"": [
    ""Gender Norms & Dynamics"",
    ""Gender-Based Violence"",
    ""Caste / Intersectional""
  ],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Gender-Based Violence,Caste / Intersectional",Negative,"Anger, Disgust, Sadness",Medium,"then you have not seen the world yet. many girls are sacrificed like this either by parents or the elder siblings. they take care of parents, grow old alone, and their siblings let them be without taking any responsibility.",English
@Decentcop_Anurag3161,Khrch khup bhari ❤️,1572,https://www.youtube.com/watch?v=_lpxWzvII5k,0,Made in Heaven Season 2 - Official Trailer | Prime Video India,comment,0,khrch khup bhari ❤️,"{
  ""themes"": [],
  ""sentiment"": ""Positive""
}",,Positive,"Compassion, Pride",Medium,khrch khup bhari ❤️,English
@alleemuhammad,"this show is about south delhi wedding planners
why are people expecting cheap weddings",451,https://www.youtube.com/watch?v=TBlOFPsxPsQ,1,Made In Heaven Season 2 Review : The Truth!,comment,1,this show is about south delhi wedding planners why are people expecting cheap weddings,"{
  ""themes"": [""India Local Culture""],
  ""sentiment"": ""Neutral""
}",India Local Culture,Neutral,Contempt,High,this show is about south delhi wedding planners why are people expecting cheap weddings,English
@PujaSharma-mm6eg,Shobhita herself has got so many surgical procedures. ,239,https://www.youtube.com/watch?v=Bk_n6DjDP2o,27,Sobhita Dhulipala Takes A STAND for the RIGHT THING  | Made In Heaven Season 2 | #primevideoindia,comment,691,shobhita herself has got so many surgical procedures.,"{
  ""themes"": [""Body & Beauty Standards""],
  ""sentiment"": ""Negative""
}",Body & Beauty Standards,Negative,Contempt,High,shobhita herself has got so many surgical procedures.,English
@AbhishekSingh-hy7hb,I am done with this PSEUDO FEMINIST ideology. Where they believe everything they do is justify ,1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,0,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,comment,0,i am done with this pseudo feminist ideology. where they believe everything they do is justify,"{
  ""themes"": [""Gender Norms & Dynamics""],
  ""sentiment"": ""Negative""
}",Gender Norms & Dynamics,Negative,"Anger, Contempt",Medium,i am done with this pseudo feminist ideology. where they believe everything they do is justify,English
@ptarchives,Its quite common . I've seen 4 or 5 women like this . Their parents purposely stalled the women's marriages so that they can enjoy her support. And it happened only in working women's household . As far as i saw.,359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,reply,9,its quite common . i've seen 4 or 5 women like this . their parents purposely stalled the women's marriages so that they can enjoy her support. and it happened only in working women's household . as far as i saw.,"{
  ""themes"": [""Gender Norms & Dynamics"", ""Economic Empowerment""],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Economic Empowerment",Negative,"Contempt, Disgust",Medium,its quite common . i've seen 4 or 5 women like this . their parents purposely stalled the women's marriages so that they can enjoy her support. and it happened only in working women's household . as far as i saw.,English
@Trentz2," @dakshitasaxena9331  big enough to maintain a such a house, south Delhi lifestyle and business.",16,https://www.youtube.com/watch?v=oKrH_3hxPwE,0,Will Tara get what she deserves? | Made In Heaven S2 | Prime Video India,reply,3,"@dakshitasaxena9331 big enough to maintain a such a house, south delhi lifestyle and business.","{
  ""themes"": [""Economic Empowerment"", ""India Local Culture""],
  ""sentiment"": ""Neutral""
}","Economic Empowerment,India Local Culture",Neutral,Contempt,High,"@dakshitasaxena9331 big enough to maintain a such a house, south delhi lifestyle and business.",English
@rushabhshah.2768,she may not be educated or broad minded u must break the chain and not think about the colour,106,https://www.youtube.com/watch?v=OrhUkKFsvqY,0,MADE IN HEAVEN Season 2 - Official Trailer REACTION!,reply,1,she may not be educated or broad minded u must break the chain and not think about the colour,"{
  ""themes"": [""Gender Norms & Dynamics"", ""Caste / Intersectional"", ""Body & Beauty Standards""],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Caste / Intersectional,Body & Beauty Standards",Negative,"Contempt, Disgust",Medium,she may not be educated or broad minded u must break the chain and not think about the colour,English
@alfazali5999,Love to see bhadwa,125,https://www.youtube.com/watch?v=dg40ww15xSM,0,"Made In Heaven Season 2 review | Arjun Mathur, Sobhita Dhulipala, Jim Sarbh | Honest Review | MensXP",comment,10,love to see bhadwa,"```json
{
  ""themes"": [""India Local Culture""],
  ""sentiment"": ""Positive""
}
```",India Local Culture,Positive,Contempt,High,love to see bhadwa,English
@animedc69,What is dalit wedding. That was neo(Buddhist) wedding,1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,0,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,reply,0,what is dalit wedding. that was neo(buddhist) wedding,"{
  ""themes"": [""Caste / Intersectional""],
  ""sentiment"": ""Neutral""
}",Caste / Intersectional,Neutral,Contempt,High,what is dalit wedding. that was neo(buddhist) wedding,English
@Solararisa,"Did you really miss the part where she criticizes a Muslim man for marrying another woman, whilst having a wife? Yall wanna see what you wanna see. This is set in India, so of course most of the societal issues happen around Hindu families.",451,https://www.youtube.com/watch?v=TBlOFPsxPsQ,0,Made In Heaven Season 2 Review : The Truth!,reply,0,"did you really miss the part where she criticizes a muslim man for marrying another woman, whilst having a wife? yall wanna see what you wanna see. this is set in india, so of course most of the societal issues happen around hindu families.","{
  ""themes"": [""Gender Norms & Dynamics"", ""Caste / Intersectional""],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Caste / Intersectional",Negative,"Anger, Contempt, Disgust",Medium,"did you really miss the part where she criticizes a muslim man for marrying another woman, whilst having a wife? yall wanna see what you wanna see. this is set in india, so of course most of the societal issues happen around hindu families.",English
@khocchar,"Karan’s story was making me nauseous to the point that I was simply forwarding his parts..
Tara and Karan seemed to have lost their moral compass..
Atleast Adil’s character was selfish and stupid and he was consistent with it..

Tara’s character was quite a mess.

Just because Adil’s mom wants peace back in her house, she takes away her home ",1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,0,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,comment,0,"karan’s story was making me nauseous to the point that i was simply forwarding his parts.. tara and karan seemed to have lost their moral compass.. atleast adil’s character was selfish and stupid and he was consistent with it.. tara’s character was quite a mess. just because adil’s mom wants peace back in her house, she takes away her home","{
  ""themes"": [],
  ""sentiment"": ""Negative""
}",,Negative,"Anger, Contempt, Disgust",High,"karan’s story was making me nauseous to the point that i was simply forwarding his parts.. tara and karan seemed to have lost their moral compass.. atleast adil’s character was selfish and stupid and he was consistent with it.. tara’s character was quite a mess. just because adil’s mom wants peace back in her house, she takes away her home",English
@Trentz2," @nidhisharma2656  she always was dark. Few kind deeds  don’t take away the character. People need a certain kind of dark and twisted mindset to even think of such act, let alone plot and execute it",16,https://www.youtube.com/watch?v=oKrH_3hxPwE,0,Will Tara get what she deserves? | Made In Heaven S2 | Prime Video India,reply,3,"@nidhisharma2656 she always was dark. few kind deeds don’t take away the character. people need a certain kind of dark and twisted mindset to even think of such act, let alone plot and execute it","{
  ""themes"": [""Body & Beauty Standards"", ""Gender Norms & Dynamics""],
  ""sentiment"": ""Negative""
}","Body & Beauty Standards,Gender Norms & Dynamics",Negative,"Contempt, Disgust",Medium,"@nidhisharma2656 she always was dark. few kind deeds don’t take away the character. people need a certain kind of dark and twisted mindset to even think of such act, let alone plot and execute it",English
@samscool_18,How come you guys have not covered FAT bride ,28,https://www.youtube.com/watch?v=ujM208ETE_0,0,"Made In Heaven S2 - Watch Now | Sobhita Dhulipala, Arjun Mathur, Jim Sarbh, Kalki Koechlin",comment,1,how come you guys have not covered fat bride,"{
  ""themes"": [""Body & Beauty Standards""],
  ""sentiment"": ""Negative""
}",Body & Beauty Standards,Negative,Contempt,High,how come you guys have not covered fat bride,English
@payalalam8738,"Tara wants to be rich, she steals her bag  while returning from that home, she is  staring at that big house with an even bigger swimming pool, she is uncomfortable with Raghav(lovely simple rooted guy himself) small houses, small hotels... 
They weren't lasting longer anyway",275,https://www.youtube.com/watch?v=eWte05Lq-q8,0,Made In Heaven Season 2 REVIEW | Sucharita Tyagi | Zoya Akhtar | Amazon Prime Video,reply,12,"tara wants to be rich, she steals her bag while returning from that home, she is staring at that big house with an even bigger swimming pool, she is uncomfortable with raghav(lovely simple rooted guy himself) small houses, small hotels... they weren't lasting longer anyway","{
  ""themes"": [""Economic Empowerment"", ""Body & Beauty Standards""],
  ""sentiment"": ""Negative""
}","Economic Empowerment,Body & Beauty Standards",Negative,"Contempt, Disgust",High,"tara wants to be rich, she steals her bag while returning from that home, she is staring at that big house with an even bigger swimming pool, she is uncomfortable with raghav(lovely simple rooted guy himself) small houses, small hotels... they weren't lasting longer anyway",English
@antybin8839,Is getting more interesting waw this beautiful lady's marriage it not brings problems in this beautiful home  ❤ ,80,https://www.youtube.com/watch?v=04qsYfPRUlQ,0,MADE IN HEAVEN SEASON 2 -(New Trending Movie) Onny Micheal & Mary Igwe 2023 Latest Nigerian Movie,comment,2,is getting more interesting waw this beautiful lady's marriage it not brings problems in this beautiful home ❤,"{
  ""themes"": [""India Local Culture"", ""Body & Beauty Standards""],
  ""sentiment"": ""Positive""
}","India Local Culture,Body & Beauty Standards",Positive,Compassion,High,is getting more interesting waw this beautiful lady's marriage it not brings problems in this beautiful home ❤,English
@3322siddhartha,"It was like ticking off check boxes. More into the leads than the weddings and its problems. Radhika apte, mrunal thskur were great. What stood out was the jahauri family arc. A very mid show with a very very very very bad finale.",275,https://www.youtube.com/watch?v=eWte05Lq-q8,0,Made In Heaven Season 2 REVIEW | Sucharita Tyagi | Zoya Akhtar | Amazon Prime Video,comment,1,"it was like ticking off check boxes. more into the leads than the weddings and its problems. radhika apte, mrunal thskur were great. what stood out was the jahauri family arc. a very mid show with a very very very very bad finale.","{
  ""themes"": [],
  ""sentiment"": ""Negative""
}",,Negative,"Anger, Disgust",Medium,"it was like ticking off check boxes. more into the leads than the weddings and its problems. radhika apte, mrunal thskur were great. what stood out was the jahauri family arc. a very mid show with a very very very very bad finale.",English
@ishaandixit6936,Wow..how to justify gold diggers in the name of feminism.,103,https://www.youtube.com/watch?v=F91nUJaonzg,5,"Bitter Sweet Revenge | Made In Heaven S2 | Sobhita Dhulipala, Jim Sarbh, Kalki Koechlin",comment,25,wow..how to justify gold diggers in the name of feminism.,"{
  ""themes"": [""Gender Norms & Dynamics""],
  ""sentiment"": ""Negative""
}",Gender Norms & Dynamics,Negative,"Contempt, Disgust",Medium,wow..how to justify gold diggers in the name of feminism.,English
@Solararisa," @simk490  Tara has never been a feminist. She has been shown to be a gold digger since season 1 and that isn't no feminism, lol. She cares about monetary value more than feminism and rights of women. The dowry scene in season 1 was the only time she was remotely feminist.",451,https://www.youtube.com/watch?v=TBlOFPsxPsQ,0,Made In Heaven Season 2 Review : The Truth!,reply,0,"@simk490 tara has never been a feminist. she has been shown to be a gold digger since season 1 and that isn't no feminism, lol. she cares about monetary value more than feminism and rights of women. the dowry scene in season 1 was the only time she was remotely feminist.","```json
{
  ""themes"": [""Gender Norms & Dynamics"", ""Economic Empowerment""],
  ""sentiment"": ""Negative""
}
```","Gender Norms & Dynamics,Economic Empowerment",Negative,"Contempt, Disgust",Medium,"@simk490 tara has never been a feminist. she has been shown to be a gold digger since season 1 and that isn't no feminism, lol. she cares about monetary value more than feminism and rights of women. the dowry scene in season 1 was the only time she was remotely feminist.",English
@TriedRefusedProductions,Dia Mirza was stunning. Her sudden need to become an activist through Karan's influence was so jarring tho,1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,0,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,reply,1,dia mirza was stunning. her sudden need to become an activist through karan's influence was so jarring tho,"{
  ""themes"": [""Body & Beauty Standards"", ""Gender Norms & Dynamics""],
  ""sentiment"": ""Neutral""
}","Body & Beauty Standards,Gender Norms & Dynamics",Neutral,Disgust,High,dia mirza was stunning. her sudden need to become an activist through karan's influence was so jarring tho,English
@nischesharma,Now indian cinema is copying west ideas about gender theories,1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,2,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,comment,0,now indian cinema is copying west ideas about gender theories,"{
  ""themes"": [""Gender Norms & Dynamics""],
  ""sentiment"": ""Negative""
}",Gender Norms & Dynamics,Negative,Contempt,High,now indian cinema is copying west ideas about gender theories,English
@sangitajoshi8456,"Hindu se chora huya Mantra
",607,https://www.youtube.com/watch?v=p2GTty4vK1g,0,"Made in heaven season 2| wedding scene| Radhika Apte,Shivani Raghuvanshi,Arjun Mathur,Kalki,Shashank",comment,0,hindu se chora huya mantra,"{
  ""themes"": [],
  ""sentiment"": ""Neutral""
}",,Neutral,No emotion,High,hindu se chora huya mantra,English
@TriedRefusedProductions,Who would have thought that Jauhari being the feminist husband is all that we tuned in for!,1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,0,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,reply,109,who would have thought that jauhari being the feminist husband is all that we tuned in for!,"{
  ""themes"": [""Gender Norms & Dynamics""],
  ""sentiment"": ""Positive""
}",Gender Norms & Dynamics,Positive,Contempt,High,who would have thought that jauhari being the feminist husband is all that we tuned in for!,English
@beingchaitali,Wow Suchitra beutifully observed and said in mainstream till no one shows buddhist wedding. We have seen mundan and all kind of weddings. And radhika apte played amazing character ... I just loved the way they showed beautifully bhuddhist wedding and mona singh's character is love ❤,275,https://www.youtube.com/watch?v=eWte05Lq-q8,0,Made In Heaven Season 2 REVIEW | Sucharita Tyagi | Zoya Akhtar | Amazon Prime Video,comment,7,wow suchitra beutifully observed and said in mainstream till no one shows buddhist wedding. we have seen mundan and all kind of weddings. and radhika apte played amazing character ... i just loved the way they showed beautifully bhuddhist wedding and mona singh's character is love ❤,"{
  ""themes"": [""India Local Culture""],
  ""sentiment"": ""Positive""
}",India Local Culture,Positive,"Compassion, Pride",Medium,wow suchitra beutifully observed and said in mainstream till no one shows buddhist wedding. we have seen mundan and all kind of weddings. and radhika apte played amazing character ... i just loved the way they showed beautifully bhuddhist wedding and mona singh's character is love ❤,English
@jeeveshbudhia," @ridimapinto5500  Hmm there are n number of people with high ambitions, who have worked hard for no avail, who could do anything for money, how would you change them? Everyone’s isn’t Sita or Rama who could leave their thrones to live in a jungle (it’s an analogy)",451,https://www.youtube.com/watch?v=TBlOFPsxPsQ,0,Made In Heaven Season 2 Review : The Truth!,reply,2,"@ridimapinto5500 hmm there are n number of people with high ambitions, who have worked hard for no avail, who could do anything for money, how would you change them? everyone’s isn’t sita or rama who could leave their thrones to live in a jungle (it’s an analogy)","```json
{
  ""themes"": [],
  ""sentiment"": ""Neutral""
}
```",,Neutral,"Contempt, Disgust",Medium,"@ridimapinto5500 hmm there are n number of people with high ambitions, who have worked hard for no avail, who could do anything for money, how would you change them? everyone’s isn’t sita or rama who could leave their thrones to live in a jungle (it’s an analogy)",English
@Spy777-d1k,Reality hajam nhi hoti logi ko,22,https://www.youtube.com/watch?v=hZQP6lprcYE,0,Made In Heaven Season 2 Explained In Hindi | Made In Heaven Season 2 All Episodes Explained In Hindi,reply,2,reality hajam nhi hoti logi ko,"{
  ""themes"": [],
  ""sentiment"": ""Neutral""
}",,Neutral,Contempt,High,reality hajam nhi hoti logi ko,English
@Karmindersingh91,"same, main ve ehi soch rehaa ,  yaa hindi bol lain ya Punjabi ",359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,reply,0,"same, main ve ehi soch rehaa , yaa hindi bol lain ya punjabi","{
  ""themes"": [],
  ""sentiment"": ""Neutral""
}",,Neutral,No emotion,High,"same, main ve ehi soch rehaa , yaa hindi bol lain ya punjabi",English
@aaakashadlak1993,"Sobhita, for me, isn’t just an actor — she’s a mood. There’s something unapologetically raw about her presence, like she’s not trying to be perfect, just intensely real.",239,https://www.youtube.com/watch?v=Bk_n6DjDP2o,9,Sobhita Dhulipala Takes A STAND for the RIGHT THING  | Made In Heaven Season 2 | #primevideoindia,comment,1400,"sobhita, for me, isn’t just an actor — she’s a mood. there’s something unapologetically raw about her presence, like she’s not trying to be perfect, just intensely real.","{
  ""themes"": [""Body & Beauty Standards"", ""Emotional States""],
  ""sentiment"": ""Positive""
}","Body & Beauty Standards,Emotional States",Positive,"Compassion, Pride",Medium,"sobhita, for me, isn’t just an actor — she’s a mood. there’s something unapologetically raw about her presence, like she’s not trying to be perfect, just intensely real.",English
@sounr525,I echo the same. I am so shocked that Karan pulls all that stunts and comes out scotch free because his mother passed away. And tara ridding her mil of her home to seek revenge. What the hell??!!,1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,0,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,comment,3,i echo the same. i am so shocked that karan pulls all that stunts and comes out scotch free because his mother passed away. and tara ridding her mil of her home to seek revenge. what the hell??!!,"{
  ""themes"": [],
  ""sentiment"": ""Negative""
}",,Negative,"Anger, Disgust",Medium,i echo the same. i am so shocked that karan pulls all that stunts and comes out scotch free because his mother passed away. and tara ridding her mil of her home to seek revenge. what the hell??!!,English
@anikethchakraborty3238,Bulbul ji supremacy ❤,3,https://www.youtube.com/watch?v=kiid6cmqav8,0,New Auditor in town | Made In Heaven S2 | #primevideoindia,comment,1,bulbul ji supremacy ❤,"{
  ""themes"": [],
  ""sentiment"": ""Positive""
}",,Positive,Pride,High,bulbul ji supremacy ❤,English
@ibrahimm2012,Bhai India has 80% Hindu so most stories will be about Hindus and their social issue,451,https://www.youtube.com/watch?v=TBlOFPsxPsQ,0,Made In Heaven Season 2 Review : The Truth!,reply,5,bhai india has 80% hindu so most stories will be about hindus and their social issue,"{
  ""themes"": [""India Local Culture"", ""Caste / Intersectional""],
  ""sentiment"": ""Neutral""
}","India Local Culture,Caste / Intersectional",Neutral,No emotion,High,bhai india has 80% hindu so most stories will be about hindus and their social issue,English
@rahul28ish,When weaker section of society starts getting rights they start discriminating other weaker sections.,1572,https://www.youtube.com/watch?v=_lpxWzvII5k,0,Made in Heaven Season 2 - Official Trailer | Prime Video India,reply,0,when weaker section of society starts getting rights they start discriminating other weaker sections.,"{
  ""themes"": [""Caste / Intersectional""],
  ""sentiment"": ""Negative""
}",Caste / Intersectional,Negative,"Contempt, Disgust",Medium,when weaker section of society starts getting rights they start discriminating other weaker sections.,English
@sam_alane1195,Buddhist wedding madhe bashing nahi bandhat ani pani nhi takt te tashi pratha naste,607,https://www.youtube.com/watch?v=p2GTty4vK1g,0,"Made in heaven season 2| wedding scene| Radhika Apte,Shivani Raghuvanshi,Arjun Mathur,Kalki,Shashank",comment,1,buddhist wedding madhe bashing nahi bandhat ani pani nhi takt te tashi pratha naste,"{
  ""themes"": [""India Local Culture"", ""Gender Norms & Dynamics""],
  ""sentiment"": ""Neutral""
}","India Local Culture,Gender Norms & Dynamics",Neutral,Contempt,High,buddhist wedding madhe bashing nahi bandhat ani pani nhi takt te tashi pratha naste,English
@Anantinfinit,It was a Buddhist wedding not dalit wedding because dalit people exist in every religion of India.,1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,0,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,reply,4,it was a buddhist wedding not dalit wedding because dalit people exist in every religion of india.,"{
  ""themes"": [""Caste / Intersectional""],
  ""sentiment"": ""Neutral""
}",Caste / Intersectional,Neutral,Contempt,High,it was a buddhist wedding not dalit wedding because dalit people exist in every religion of india.,English
@vishwajeet531,Shobita ❤,99,https://www.youtube.com/watch?v=zOd0R4CcZqk,0,Life Lesson: Take Charge! | Made In Heaven Season 2 | Prime Video India,comment,0,shobita ❤,"{
  ""themes"": [],
  ""sentiment"": ""Neutral""
}",,Neutral,No emotion,High,shobita ❤,English
@Potato-me4wu,​ @deepanshu17200 the reason law should be made that ppl can comply properly with these things rather than exploit situation ldka ho na logic kha smjh aayega aise chizo me,359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,reply,0,​ @deepanshu17200 the reason law should be made that ppl can comply properly with these things rather than exploit situation ldka ho na logic kha smjh aayega aise chizo me,"{
  ""themes"": [""Gender Norms & Dynamics"", ""Economic Empowerment""],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Economic Empowerment",Negative,"Anger, Disgust",Medium,​ @deepanshu17200 the reason law should be made that ppl can comply properly with these things rather than exploit situation ldka ho na logic kha smjh aayega aise chizo me,English
@someonefromsomewhere6650,"This season is very preachy. Bulbul and johri plot was very engaging ❤ 

Also making Lgbtqia having intimate moments with every person they see and hooking up everyday is not a good image tbh. Like people already think they are perverts.",275,https://www.youtube.com/watch?v=eWte05Lq-q8,8,Made In Heaven Season 2 REVIEW | Sucharita Tyagi | Zoya Akhtar | Amazon Prime Video,comment,27,this season is very preachy. bulbul and johri plot was very engaging ❤ also making lgbtqia having intimate moments with every person they see and hooking up everyday is not a good image tbh. like people already think they are perverts.,"{
  ""themes"": [
    ""Gender Norms & Dynamics"",
    ""Body & Beauty Standards""
  ],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Body & Beauty Standards",Negative,"Anger, Disgust",Medium,this season is very preachy. bulbul and johri plot was very engaging ❤ also making lgbtqia having intimate moments with every person they see and hooking up everyday is not a good image tbh. like people already think they are perverts.,English
@kanupriyajaireth1981, @SucharitaTyagi  haaaa haaaa ,275,https://www.youtube.com/watch?v=eWte05Lq-q8,0,Made In Heaven Season 2 REVIEW | Sucharita Tyagi | Zoya Akhtar | Amazon Prime Video,reply,0,@sucharitatyagi haaaa haaaa,"```json
{
  ""themes"": [],
  ""sentiment"": ""Neutral""
}
```",,Neutral,Contempt,High,@sucharitatyagi haaaa haaaa,English
@Mdinmaking,Girls do  everything for your parents. Don't leave them.  Don't follow bullshit society laws,359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,comment,1,girls do everything for your parents. don't leave them. don't follow bullshit society laws,"{
  ""themes"": [""Gender Norms & Dynamics"", ""Emotional States""],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Emotional States",Negative,"Anger, Contempt",Medium,girls do everything for your parents. don't leave them. don't follow bullshit society laws,English
@meeramudaliyar7688,Yes this the problem where most girls face who don't hv brother,359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,reply,0,yes this the problem where most girls face who don't hv brother,"{
  ""themes"": [""Gender Norms & Dynamics""],
  ""sentiment"": ""Negative""
}",Gender Norms & Dynamics,Negative,Sadness,High,yes this the problem where most girls face who don't hv brother,English
@aasthachopra7769,sasti deepika,28,https://www.youtube.com/watch?v=xG5H-r1rPA8,4,"Sobhita Dhulipala, Jim Sarbh & Shashank Arora on Made in Heaven season 2, situationships & more",comment,4,sasti deepika,"{
  ""themes"": [],
  ""sentiment"": ""Neutral""
}",,Neutral,Contempt,High,sasti deepika,English
@vandanavinay2151,Y saying Dalit can't u say Buddhist  she has married in  BUDDHISM,22,https://www.youtube.com/watch?v=hZQP6lprcYE,6,Made In Heaven Season 2 Explained In Hindi | Made In Heaven Season 2 All Episodes Explained In Hindi,comment,8,y saying dalit can't u say buddhist she has married in buddhism,"{
  ""themes"": [""Caste / Intersectional""],
  ""sentiment"": ""Neutral""
}",Caste / Intersectional,Neutral,Contempt,High,y saying dalit can't u say buddhist she has married in buddhism,English
@renuka1483,What we should learn from these series??? Ladies will do everything for money,23,https://www.youtube.com/watch?v=XhzeEy95B9g,3,Employee Concerns Ft. Vijay Raaz | Made In Heaven S2 | Prime Video India,comment,10,what we should learn from these series??? ladies will do everything for money,"{
  ""themes"": [""Gender Norms & Dynamics"", ""Economic Empowerment""],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Economic Empowerment",Negative,"Contempt, Disgust",Medium,what we should learn from these series??? ladies will do everything for money,English
@mukund5453,The virtue signalling virus has made its way to India,1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,0,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,comment,0,the virtue signalling virus has made its way to india,"{
  ""themes"": [],
  ""sentiment"": ""Negative""
}",,Negative,Contempt,High,the virtue signalling virus has made its way to india,English
